年,リーグ,順位,クラブ名,試合,勝,分,敗,得点,失点,得失点差,勝点
25-26,プレミアリーグ,1,アーセナル,11,8,2,1,20,5,15,26
,,2,チェルシー,11,6,2,3,21,11,10,20
,,3,マンC,10,6,1,3,20,8,12,19
,,4,サンダーランド,11,5,4,2,14,10,4,19
,,5,トッテナム,11,5,3,3,19,10,9,18
,,6,リヴァプール,10,6,0,4,18,14,4,18
,,7,ボーンマス,10,5,3,2,17,14,3,18
,,8,マンU,11,5,3,3,19,18,1,18
,,9,C・パレス,10,4,4,2,14,9,5,16
,,10,ブライトン,10,4,3,3,17,15,2,15
,,11,エヴァートン,11,4,3,4,12,13,-1,15
,,12,アストン・ビラ,10,4,3,3,9,10,-1,15
,,13,ブレントフォード,10,4,1,5,14,16,-2,13
,,14,ニューカッスル,10,3,3,4,10,11,-1,12
,,15,フラム,11,3,2,6,12,16,-4,11
,,16,リーズ U,10,3,2,5,9,17,-8,11
,,17,バーンリー,11,3,1,7,14,22,-8,10
,,18,ウェストハム,11,3,1,7,13,23,-10,10
,,19,N・フォレスト,10,1,3,6,7,19,-12,6
,,20,ウルブス,11,0,2,9,7,25,-18,2
,,,,,,,,,,,
25-26,ラ・リーガ,1,Rマドリード,11,10,0,1,26,10,16,30
,,2,ビジャレアル,12,8,2,2,24,10,14,26
,,3,バルセロナ,11,8,1,2,28,13,15,25
,,4,アトレティコ,12,7,4,1,24,11,13,25
,,5,ベティス,11,5,4,2,18,12,6,19
,,6,エスパニョール,12,5,3,4,15,15,0,18
,,7,ヘタフェ,11,5,2,4,12,13,-1,17
,,8,セビージャ,12,5,1,6,18,19,-1,16
,,9,アラベス,12,4,3,5,11,11,0,15
,,10,エルチェ,12,3,6,3,13,14,-1,15
,,11,ラージョ・バジェカーノ,11,4,2,5,12,14,-2,14
,,12,ビルバオ,11,4,2,5,11,13,-2,14
,,13,セルタ,11,2,7,2,13,14,-1,13
,,14,ソシエダ,12,3,4,5,14,17,-3,13
,,15,オサスナ,12,3,2,7,9,13,-4,11
,,16,ジローナ,12,2,4,6,11,24,-13,10
,,17,レバンテ,12,2,3,7,16,23,-7,9
,,18,マヨルカ,11,2,3,6,11,18,-7,9
,,19,バレンシア,11,2,3,6,10,20,-10,9
,,20,オビエド,11,2,2,7,7,19,-12,8
,,,,,,,,,,,
25-26,ブンデスリーガ,1,バイエルン,10,9,1,0,35,6,29,28
,,2,ライプチヒ,10,7,1,2,20,13,7,22
,,3,ドルトムント,10,6,3,1,16,7,9,21
,,4,レーバークーゼン,10,6,2,2,24,14,10,20
,,5,ホッフェンハイム,10,6,1,3,21,16,5,19
,,6,シュツットガルト,9,6,0,3,14,10,4,18
,,7,ブレーメン,10,4,3,3,15,18,-3,15
,,8,フランクフルト,9,4,2,3,22,19,3,14
,,9,ケルン,10,4,2,4,17,15,2,14
,,10,U・ベルリン,10,3,3,4,13,17,-4,12
,,11,フライブルク,9,2,4,3,11,13,-2,10
,,12,ボルシア・メンヘングラードバッハ,10,2,3,5,13,19,-6,9
,,13,ハンブルク,10,2,3,5,9,16,-7,9
,,14,ヴォルフスブルク,10,2,2,6,12,18,-6,8
,,15,アウクスブルク,9,2,1,6,12,21,-9,7
,,16,ザンクトパウリ,9,2,1,6,8,18,-10,7
,,17,マインツ,9,1,2,6,10,17,-7,5
,,18,ハイデンハイム,10,1,2,7,8,23,-15,5
,,,,,,,,,,,
25-26,セリエA,1,ミラン,11,6,4,1,17,9,8,22
,,2,ナポリ,10,7,1,2,16,8,8,22
,,3,インテル,10,7,0,3,24,12,12,21
,,4,ローマ,10,7,0,3,10,5,5,21
,,5,ユヴェントス,11,5,4,2,14,10,4,19
,,6,ボローニャ,10,5,3,2,16,8,8,18
,,7,コモ,11,4,6,1,12,6,6,18
,,8,ラツィオ,10,4,3,3,13,7,6,15
,,9,ウディネーゼ,10,4,3,3,12,15,-3,15
,,10,クレモネーゼ,11,3,5,3,12,13,-1,14
,,11,トリノ,11,3,5,3,10,16,-6,14
,,12,アタランタ,10,2,7,1,13,8,5,13
,,13,サッスオーロ,10,4,1,5,11,12,-1,13
,,14,カリアリ,11,2,4,5,9,14,-5,10
,,15,レッチェ,11,2,4,5,8,14,-6,10
,,16,ピサ,11,1,6,4,8,14,-6,9
,,17,パルマ,11,1,5,5,7,14,-7,8
,,18,ジェノア,10,1,3,6,6,14,-8,6
,,19,ヴェローナ,11,0,6,5,6,16,-10,6
,,20,フィオレンティーナ,10,0,4,6,7,16,-9,4
,,,,,,,,,,,
25-26,リーグ・アン,1,マルセイユ,12,8,1,3,28,11,17,25
,,2,ランス,12,8,1,3,21,11,10,25
,,3,パリSG,11,7,3,1,21,9,12,24
,,4,リール,11,6,2,3,23,13,10,20
,,5,リヨン,11,6,2,3,16,12,4,20
,,6,モナコ,12,6,2,4,24,21,3,20
,,7,ストラスブール,11,6,1,4,22,16,6,19
,,8,レンヌ,12,4,6,2,19,17,2,18
,,9,ニース,11,5,2,4,16,16,0,17
,,10,トゥールーズ,11,4,3,4,17,15,2,15
,,11,パリFC,12,4,2,6,18,21,-3,14
,,12,ル・アーヴル,12,3,5,4,13,17,-4,14
,,13,ブレスト,12,2,4,6,14,21,-7,10
,,14,ナント,12,2,4,6,11,18,-7,10
,,15,アンジェ,11,2,4,5,8,15,-7,10
,,16,ロリアン,11,2,3,6,13,25,-12,9
,,17,メス,11,2,2,7,10,26,-16,8
,,18,オセール,11,2,1,8,7,17,-10,7
