順位,チーム名,勝点,試合数,勝,分,敗,得点,失点,得失点差
1,レイラック滋賀,47,24,14,5,5,38,28,+10
2,Honda FC,45,24,12,9,3,40,23,+17
3,ラインメール青森,44,23,12,8,3,32,20,+12
4,沖縄SV,42,23,12,6,5,36,22,+14
5,ヴェルスパ大分,37,23,10,7,6,30,22,+8
6,ブリオベッカ浦安･市川,37,23,10,7,6,22,18,+4
7,FCティアモ枚方,35,24,10,5,9,40,35,+5
8,ミネベアミツミFC,29,23,8,5,10,33,29,+4
9,FCマルヤス岡崎,29,23,8,5,10,23,28,-5
10,ヴィアティン三重,28,23,6,10,7,21,23,-2
11,クリアソン新宿,27,24,7,6,11,22,25,-3
12,いわてグルージャ盛岡,26,23,7,5,11,30,36,-6
13,アトレチコ鈴鹿,21,23,5,6,12,21,36,-15
14,横河武蔵野FC,21,23,5,6,12,13,30,-17
15,Y.S.C.C.横浜,21,24,5,6,13,24,42,-18
16,飛鳥FC,19,24,3,10,11,15,23,-8
