alias,canonical_name
G大阪,ガンバ大阪
C大阪,セレッソ大阪
FC東京,ＦＣ東京
東京V,東京ヴェルディ
横浜FM,横浜Ｆ・マリノス
横浜FC,横浜ＦＣ
川崎F,川崎フロンターレ
町田,ＦＣ町田ゼルビア
札幌,北海道コンサドーレ札幌
新潟,アルビレックス新潟
磐田,ジュビロ磐田
名古屋,名古屋グランパス
京都,京都サンガF.C.
神戸,ヴィッセル神戸
広島,サンフレッチェ広島
福岡,アビスパ福岡
鳥栖,サガン鳥栖
鹿島,鹿島アントラーズ
浦和,浦和レッズ
柏,柏レイソル
湘南,湘南ベルマーレ
仙台,ベガルタ仙台
山形,モンテディオ山形
水戸,水戸ホーリーホック
栃木SC,栃木ＳＣ
群馬,ザスパ群馬
大宮,ＲＢ大宮アルディージャ
千葉,ジェフユナイテッド千葉
甲府,ヴァンフォーレ甲府
松本,松本山雅FC
清水,清水エスパルス
藤枝,藤枝ＭＹＦＣ
岡山,ファジアーノ岡山
山口,レノファ山口ＦＣ
徳島,徳島ヴォルティス
愛媛,愛媛ＦＣ
長崎,Ｖ・ファーレン長崎
熊本,ロアッソ熊本
大分,大分トリニータ
鹿児島,鹿児島ユナイテッドFC
琉球,FC琉球
YS横浜,Ｙ．Ｓ．Ｃ．Ｃ．横浜
相模原,SC相模原
長野,AC長野パルセイロ
富山,カターレ富山
金沢,ツエーゲン金沢
沼津,アスルクラロ沼津
岐阜,FC岐阜
FC大阪,ＦＣ大阪
奈良,奈良クラブ
鳥取,ガイナーレ鳥取
讃岐,カマタマーレ讃岐
北九州,ギラヴァンツ北九州
宮崎,テゲバジャーロ宮崎
八戸,ヴァンラーレ八戸
岩手,いわてグルージャ盛岡
福島,福島ユナイテッドFC
今治,ＦＣ今治
いわきFC,いわきＦＣ
秋田,ブラウブリッツ秋田
栃木C,栃木シティ
高知,高知ユナイテッドＳＣ
