リーグ,年,クラブ,平均観客数,年間最高観客数,年間最低観客数,ゲーム数
J1,2025,浦和レッズ,36220,52429,21383,11
J1,2025,ＦＣ東京,30887,46206,14971,11
J1,2025,名古屋グランパス,29639,34718,21892,10
J1,2025,ガンバ大阪,28969,34860,22614,10
J1,2025,サンフレッチェ広島,25604,27123,24837,11
J1,2025,鹿島アントラーズ,25276,59574,12106,12
J1,2025,横浜Ｆ・マリノス,22596,32713,14513,12
J1,2025,アルビレックス新潟,22366,30474,13627,11
J1,2025,ヴィッセル神戸,21977,36407,11019,10
J1,2025,川崎フロンターレ,21650,23103,20175,11
J1,2025,東京ヴェルディ,20526,52541,11334,11
J1,2025,清水エスパルス,19795,52847,12238,11
J1,2025,セレッソ大阪,17692,20864,14693,11
J1,2025,京都サンガF.C.,14372,20174,9059,10
J1,2025,ファジアーノ岡山,14371,15325,13330,11
J1,2025,ＦＣ町田ゼルビア,13381,44363,6825,10
J1,2025,柏レイソル,12381,13695,8946,10
J1,2025,湘南ベルマーレ,10928,13031,8476,11
J1,2025,横浜ＦＣ,9390,13252,6431,12
J1,2025,アビスパ福岡,9200,14039,6157,12
J1,2024,浦和レッズ,37519,55184,16787,19
J1,2024,ＦＣ東京,33225,57885,15828,19
J1,2024,名古屋グランパス,27650,40498,10083,19
J1,2024,ガンバ大阪,26096,34653,16021,19
J1,2024,サンフレッチェ広島,25609,27545,22774,19
J1,2024,横浜Ｆ・マリノス,24843,47926,8504,19
J1,2024,鹿島アントラーズ,23027,52860,11848,19
J1,2024,アルビレックス新潟,22430,33885,13368,19
J1,2024,ヴィッセル神戸,21811,49541,10961,19
J1,2024,川崎フロンターレ,21076,23603,18318,19
J1,2024,東京ヴェルディ,20976,53026,10060,19
J1,2024,セレッソ大阪,17903,21962,11040,19
J1,2024,ＦＣ町田ゼルビア,17610,48887,5240,19
J1,2024,北海道コンサドーレ札幌,17086,26677,7702,19
J1,2024,ジュビロ磐田,13817,32995,8355,19
J1,2024,京都サンガF.C.,13535,20323,6569,19
J1,2024,柏レイソル,12070,14472,7530,19
J1,2024,湘南ベルマーレ,11315,13192,6803,19
J1,2024,サガン鳥栖,9800,17563,5886,19
J1,2024,アビスパ福岡,9699,17161,5472,19
J1,2023,浦和レッズ,30509,49108,15167,17
J1,2023,ＦＣ東京,29410,56705,16068,17
J1,2023,横浜Ｆ・マリノス,27716,42772,7771,17
J1,2023,名古屋グランパス,27504,57058,11736,17
J1,2023,ガンバ大阪,23273,34517,14577,17
J1,2023,アルビレックス新潟,23113,30136,16692,17
J1,2023,ヴィッセル神戸,22553,53444,15741,17
J1,2023,鹿島アントラーズ,22031,56020,13169,17
J1,2023,川崎フロンターレ,19840,22563,17304,17
J1,2023,セレッソ大阪,17074,22542,10673,17
J1,2023,サンフレッチェ広島,16128,29097,8361,17
J1,2023,北海道コンサドーレ札幌,16086,31143,7591,17
J1,2023,京都サンガF.C.,13229,18500,8138,17
J1,2023,湘南ベルマーレ,13161,54243,7694,17
J1,2023,柏レイソル,11130,12833,8111,17
J1,2023,サガン鳥栖,10231,17799,6418,17
J1,2023,アビスパ福岡,9766,18309,6210,17
J1,2023,横浜ＦＣ,9129,13624,3401,17
J1,2022,浦和レッズ,23617,37144,15921,17
J1,2022,ＦＣ東京,22309,50994,11214,17
J1,2022,横浜Ｆ・マリノス,19811,46387,6689,17
J1,2022,名古屋グランパス,18813,37068,6106,17
J1,2022,川崎フロンターレ,17940,22110,13923,17
J1,2022,ガンバ大阪,17669,27988,6703,17
J1,2022,鹿島アントラーズ,16161,27234,6878,17
J1,2022,ヴィッセル神戸,15540,22949,7349,17
J1,2022,清水エスパルス,15245,56131,6806,17
J1,2022,北海道コンサドーレ札幌,12215,23330,5791,17
J1,2022,京都サンガF.C.,11692,17936,7195,17
J1,2022,セレッソ大阪,11427,18750,6695,17
J1,2022,サンフレッチェ広島,10493,18106,3988,17
J1,2022,ジュビロ磐田,9942,19130,5043,17
J1,2022,サガン鳥栖,9358,15577,4630,17
J1,2022,柏レイソル,9265,13418,4570,17
J1,2022,湘南ベルマーレ,9228,12083,4974,17
J1,2022,アビスパ福岡,7150,10933,4266,17
J1,2021,名古屋グランパス,11085,27079,4844,19
J1,2021,横浜Ｆ・マリノス,8991,30657,4752,19
J1,2021,鹿島アントラーズ,8252,16518,3586,18
J1,2021,浦和レッズ,8244,28138,4425,19
J1,2021,ＦＣ東京,7535,18209,4133,18
J1,2021,ヴィッセル神戸,7516,15013,4252,18
J1,2021,清水エスパルス,7455,9668,4356,19
J1,2021,サガン鳥栖,7276,9975,4512,19
J1,2021,ガンバ大阪,7255,16699,4205,14
J1,2021,川崎フロンターレ,7215,14867,4744,19
J1,2021,北海道コンサドーレ札幌,6817,13768,3106,19
J1,2021,大分トリニータ,6723,10021,3545,19
J1,2021,ベガルタ仙台,6152,9005,3096,19
J1,2021,サンフレッチェ広島,5920,11252,3190,19
J1,2021,セレッソ大阪,5667,10313,2711,17
J1,2021,徳島ヴォルティス,5631,8170,3170,19
J1,2021,アビスパ福岡,5403,9147,3951,19
J1,2021,湘南ベルマーレ,4850,6428,3585,19
J1,2021,横浜ＦＣ,4511,7039,1899,19
J1,2021,柏レイソル,4445,6458,2877,19
J1,2020,名古屋グランパス,9092,16825,4005,16
J1,2020,横浜Ｆ・マリノス,8467,34521,3431,16
J1,2020,浦和レッズ,8361,20288,3094,16
J1,2020,川崎フロンターレ,8354,21117,4723,16
J1,2020,ガンバ大阪,8077,16183,4142,16
J1,2020,セレッソ大阪,7453,19553,3140,16
J1,2020,鹿島アントラーズ,6525,13463,3027,16
J1,2020,ヴィッセル神戸,6420,25059,2719,16
J1,2020,ＦＣ東京,6283,14373,3812,16
J1,2020,清水エスパルス,5563,17549,2697,16
J1,2020,大分トリニータ,5480,9820,3465,16
J1,2020,サガン鳥栖,4967,9451,2592,16
J1,2020,サンフレッチェ広島,4829,18713,1948,16
J1,2020,湘南ベルマーレ,4746,13071,2629,16
J1,2020,ベガルタ仙台,4423,13968,2191,16
J1,2020,北海道コンサドーレ札幌,4303,8905,2039,17
J1,2020,横浜ＦＣ,3782,6965,2235,16
J1,2020,柏レイソル,3679,12468,2412,15
J1,2019,浦和レッズ,34184,54599,19698,17
J1,2019,ＦＣ東京,31540,42401,22302,17
J1,2019,ガンバ大阪,27708,37334,17727,17
J1,2019,名古屋グランパス,27612,42975,14651,17
J1,2019,横浜Ｆ・マリノス,27010,63854,11186,17
J1,2019,川崎フロンターレ,23272,25789,19556,17
J1,2019,セレッソ大阪,21518,42221,12044,17
J1,2019,ヴィッセル神戸,21491,25929,17708,17
J1,2019,鹿島アントラーズ,20569,34312,10208,17
J1,2019,北海道コンサドーレ札幌,18768,35531,6836,17
J1,2019,松本山雅ＦＣ,17416,19744,14078,17
J1,2019,大分トリニータ,15347,28574,9031,17
J1,2019,ジュビロ磐田,15277,31144,9416,17
J1,2019,サガン鳥栖,15050,23055,8698,17
J1,2019,清水エスパルス,15043,18246,11028,17
J1,2019,ベガルタ仙台,14971,19503,10931,17
J1,2019,サンフレッチェ広島,13886,29666,6491,17
J1,2019,湘南ベルマーレ,12849,14246,9290,17
J1,2018,浦和レッズ,35502,55689,21250,17
J1,2018,ＦＣ東京,26432,44801,13425,17
J1,2018,名古屋グランパス,24660,43579,9297,17
J1,2018,ガンバ大阪,23485,35242,11824,17
