クラブ名,売上高（億円）,平均観客動員数,Jリーグ3大タイトル,ACL（ACLE）優勝,タイトル計,売上スコア,観客スコア,タイトルスコア,商業的ビッグクラブスコア,総合的ビッグクラブスコア,過去10年J1在籍年数,J1在籍平均順位,J1在籍10年平均順位,J1在籍10年平均順位スコア,所属リーグ,チームカラー,緯度,経度,平均順位スコア,総合的ビッグクラブスコア_prev,売上高（億円）_prev,平均観客動員数_prev,タイトル計_prev,J1在籍10年平均順位スコア_prev
浦和レッズ,102.11,37350,7,3,10,51.1,83.0,10.2,67.0,34.3,10,7.8,7.8,13.2,J1,#e94444,35.86,138.64,13.8,34.5,102.11,37518,10,13.8
鹿島アントラーズ,72,27401,20,1,21,36.0,60.9,21.4,48.4,30.6,10,3.3,3.3,17.7,J1,#9B0029,35.98,138.84,17,28.7,72,23026,20,17
FC東京,69.89,31590,4,,4,34.9,70.2,4.1,52.6,25.9,10,8.0,8,13,J1,#003399,35.66,138.51,13.9,26.7,69.89,33224,4,13.9
川崎フロンターレ,84.03,22050,7,,7,42.0,49.0,7.1,45.5,27.0,10,3.6,3.6,17.4,J1,#0088CC,35.59,138.65,17.7,26.7,84.03,21076,7,17.7
サンフレッチェ広島,80.35,25585,5,,5,40.2,56.9,5.1,48.5,26.4,10,5.8,5.8,15.2,J1,#5A288A,34.39,132.45,15.3,26.2,80.35,25609,4,15.3
横浜F・マリノス,73.33,26578,7,,7,36.7,59.1,7.1,47.9,25.9,10,6.7,6.7,14.3,J1,#0055A4,35.51,138.6,15.2,25.6,73.33,24842,7,15.2
ガンバ大阪,72.23,30007,8,1,9,36.1,66.7,9.2,51.4,26.7,10,9.1,9.1,11.9,J1,#0E468A,34.8,134.53,12.4,25.5,72.23,26096,9,12.4
ヴィッセル神戸,80.67,21099,4,,4,40.3,46.9,4.1,43.6,24.2,10,7.6,7.6,13.4,J1,#9B0029,34.69,134.19,12.6,24.2,80.67,21811,4,12.6
名古屋グランパス,68.74,32263,5,,5,34.4,71.7,5.1,53.0,25.3,9,10.1,11.2,9.8,J1,#D81921,35.17,136.9,10.5,24,68.74,27650,5,10.5
セレッソ大阪,54.1,18654,2,,2,27.1,41.5,2.0,34.3,18.6,9,7.2,8.6,12.4,J1,#E8008D,34.61,134.51,11.3,18,54.1,17903,2,11.3
清水エスパルス,50.03,18803,2,,2,25.0,41.8,2.0,33.4,15.8,7,13.6,15.8,5.2,J1,#FF9900,35.01,137.48,4.8,15.4,50.03,17749,2,4.8
FC町田ゼルビア,57.54,14018,1,,1,28.8,31.2,1.0,30.0,14.5,2,4.5,17.7,3.3,J1,#005BAC,35.54,139.44,1.8,15,57.54,17609,0,1.8
東京ヴェルディ,36.83,21121,6,,6,18.4,46.9,6.1,32.7,14.7,2,11.5,19.1,1.9,J1,#008855,35.66,138.51,1.5,14.5,36.83,20976,6,1.5
柏レイソル,46.6,13017,4,,4,23.3,28.9,4.1,26.1,15.2,9,10.3,11.4,9.6,J1,#FDB913,35.86,140,8.4,14.6,46.6,12070,4,8.4
京都サンガF.C.,37.2,16538,1,,1,18.6,36.8,1.0,27.7,12.5,4,11.5,17.2,3.8,J1,#6A008A,35.01,135.7,2,10.9,37.2,13535,1,2
