国,リーグ,チーム名,名前,年齢,ポジション,詳細
イングランド,プレミアリーグ,ブライトン,三苫 薫,28,MF,左ウィンガー
イングランド,プレミアリーグ,アーセナル,冨安 健洋,26,DF,右サイドバック
イングランド,プレミアリーグ,リーズ,田中 碧,26,MF,ミッドフィルダー
イングランド,プレミアリーグ,リヴァプール,遠藤 航,32,MF,ミッドフィルダー
イングランド,プレミアリーグ,トッテナム,高井 幸大,20,DF,センターバック
スペイン,ラリーガ,ソシエダ,久保 建英,24,MF,右ウィンガー
イタリア,セリアA,パルマ,鈴木 彩艶,22,GK,ゴールキーパー
ドイツ,ブンデスリーガ,バイエルン,伊藤 洋輝,26,DF,センターバック
フランス,リーグアン,モナコ,南野 拓実,30,MF,左ウィンガー
ドイツ,ブンデスリーガ,フランクフルト,堂安 律,27,MF,右ウィンガー
ドイツ,ブンデスリーガ,マインツ,佐野 海舟,24,MF,ミッドフィルダー
ドイツ,ブンデスリーガ,ボルシアMG,板倉 滉,28,DF,センターバック
イングランド,プレミアリーグ,クリスタルパレス,鎌田 大地,28,MF,ミッドフィルダー
ドイツ,ブンデスリーガ,ホッヘンハイム,町田 浩樹,27,DF,センターバック
ドイツ,ブンデスリーガ,フライブルク,鈴木 唯人,23,MF,右ウィンガー
フランス,リーグアン,オセール,オナイウ 阿道,29,FW,フォワード
スペイン,ラリーガ,マジョルカ,浅野 拓磨,30,MF,右ウィンガー
ドイツ,ブンデスリーガ,ボルシアMG,福田 師王,21,FW,フォワード
ドイツ,ブンデスリーガ,シュツットガルト,チェイス・アンリ,21,DF,センターバック
フランス,リーグアン,スタッド・レンヌ,古橋 亨梧,30,FW,フォワード
ドイツ,ブンデスリーガ,ザンクトパウリ,藤田譲瑠チマ,23,MF,ミッドフィルダー
