国,リーグ,クラブ名,売上高（ユーロ）,売上高（億円）,平均観客動員数,リーグタイトル,CL優勝,タイトル計
スペイン,ラリーガ,レアル・マドリード,"1,046",1725.1,72692,0,0,0
イングランド,プレミアリーグ,マンチェスター・シティ,838,1382.4,53576,0,0,0
フランス,リーグアン,パリ・サンジェルマン,806,1329.7,47676,0,0,0
イングランド,プレミアリーグ,マンチェスター・ユナイテッド,771,1271.5,73815,0,0,0
ドイツ,ブンデスリーガ,バイエルン・ミュンヘン,765,1262.9,75000,0,0,0
スペイン,ラリーガ,FCバルセロナ,760,1254.5,45953,0,0,0
イングランド,プレミアリーグ,アーセナル,717,1182.2,60252,0,0,0
イングランド,プレミアリーグ,リヴァプール,715,1179.3,60486,0,0,0
イングランド,プレミアリーグ,トッテナム・ホットスパー,615,1014.8,61127,0,0,0
イングランド,プレミアリーグ,チェルシー,545.5,900.1,39987,0,0,0
ドイツ,ブンデスリーガ,ボルシア・ドルトムント,513.7,847.6,81365,0,0,0
スペイン,ラリーガ,アトレティコ・マドリード,409.5,675.7,60883,0,0,0
イタリア,セリエA,ACミラン,397.6,656.0,71512,0,0,0
イタリア,セリエA,インテル・ミラノ,391,645.2,70129,0,0,0
イングランド,プレミアリーグ,ニューカッスル・ユナイテッド,371.8,613.5,52187,0,0,0
イタリア,セリエA,ユヴェントス,355.7,586.9,40237,0,0,0
イングランド,プレミアリーグ,ウェストハム・ユナイテッド,322.2,531.6,62407,0,0,0
イングランド,プレミアリーグ,アストン・ヴィラ,310.2,511.8,41772,0,0,0
フランス,リーグアン,オリンピック・マルセイユ,287,473.6,63683,0,0,0
フランス,リーグアン,オリンピック・リヨン,264.1,435.8,50621,0,0,0
