順位,チーム名,勝点,試合数,勝,分,敗,得点,失点,得失点差
1,水戸ホーリーホック,42,21,12,6,3,31,17,14
2,ベガルタ仙台,40,21,11,7,3,27,19,8
3,ジェフユナイテッド千葉,38,21,11,5,5,32,19,13
4,ＲＢ大宮アルディージャ,38,21,10,8,3,31,18,13
5,徳島ヴォルティス,37,21,10,7,4,23,11,12
6,ジュビロ磐田,35,21,10,5,6,31,25,6
7,Ｖ・ファーレン長崎,34,21,9,7,5,37,34,3
8,サガン鳥栖,33,21,9,6,6,21,20,1
9,ＦＣ今治,28,21,6,10,5,24,19,5
10,北海道コンサドーレ札幌,28,21,8,4,9,28,34,-6
11,大分トリニータ,27,21,6,9,6,19,20,-1
12,ヴァンフォーレ甲府,26,21,6,8,7,18,18,0
13,藤枝ＭＹＦＣ,23,21,6,5,10,23,29,-6
14,いわきＦＣ,22,21,5,7,9,25,30,-5
15,ブラウブリッツ秋田,21,21,6,3,12,25,38,-13
16,モンテディオ山形,20,21,5,5,11,28,33,-5
17,カターレ富山,19,21,4,7,10,18,24,-6
18,レノファ山口ＦＣ,18,21,3,9,9,19,27,-8
19,ロアッソ熊本,18,21,4,6,11,22,33,-11
20,愛媛ＦＣ,16,21,2,10,9,22,36,-14
