順位,チーム名,勝点,試合数,勝,分,敗,得点,失点,得失点差
1,水戸ホーリーホック,70,38,20,10,8,55,34,21
2,V・ファーレン長崎,70,38,19,13,6,63,44,19
3,ジェフユナイテッド千葉,69,38,20,9,9,56,34,22
4,徳島ヴォルティス,65,38,18,11,9,45,24,21
5,ジュビロ磐田,64,38,19,7,12,59,51,8
6,RB大宮アルディージャ,63,38,18,9,11,60,39,21
7,ベガルタ仙台,62,38,16,14,8,47,36,11
8,サガン鳥栖,58,38,16,10,12,46,43,3
9,いわきFC,56,38,15,11,12,55,44,11
10,モンテディオ山形,53,38,15,8,15,58,54,4
11,FC今治,53,38,13,14,11,46,46,0
12,北海道コンサドーレ札幌,53,38,16,5,17,50,63,-13
13,ヴァンフォーレ甲府,44,38,11,11,16,37,45,-8
14,ブラウブリッツ秋田,43,38,11,10,17,43,59,-16
15,藤枝MYFC,39,38,9,12,17,41,50,-9
16,大分トリニータ,38,38,8,14,16,27,44,-17
17,カターレ富山,37,38,9,10,19,34,49,-15
18,ロアッソ熊本,37,38,9,10,19,41,57,-16
19,レノファ山口FC,36,38,7,15,16,36,47,-11
20,愛媛FC,22,38,3,13,22,35,71,-36
