順位,チーム名,勝点,試合数,勝,分,敗,得点,失点,得失点差
1,Honda FC,60,30,17,9,4,51,28,+23
2,レイラック滋賀,56,30,16,8,6,47,35,+12
3,ブリオベッカ浦安･市川,52,30,14,10,6,35,25,+10
4,FCティアモ枚方,50,30,15,5,10,58,42,+16
5,ラインメール青森,50,30,14,8,8,40,33,+7
6,ヴェルスパ大分,49,30,14,7,9,41,33,+8
7,ヴィアティン三重,45,30,11,12,7,38,25,+13
8,沖縄SV,43,30,12,7,11,39,41,-2
9,いわてグルージャ盛岡,39,30,11,6,13,45,49,-4
10,ミネベアミツミFC,34,30,9,7,14,40,41,-1
11,FCマルヤス岡崎,34,30,9,7,14,29,38,-9
12,クリアソン新宿,33,30,8,9,13,29,34,-5
13,Y.S.C.C.横浜,30,30,8,6,16,35,56,-21
14,横河武蔵野FC,29,30,7,8,15,17,37,-20
15,アトレチコ鈴鹿,28,30,7,7,16,30,46,-16
16,飛鳥FC,24,30,4,12,14,22,33,-11
