順位,チーム名,勝点,試合数,勝,分,敗,得点,失点,得失点差
1,水戸ホーリーホック,45,22,13,6,3,33,17,16
2,ベガルタ仙台,40,22,11,7,4,27,20,7
3,ＲＢ大宮アルディージャ,38,22,10,8,4,32,20,12
4,ジェフユナイテッド千葉,38,22,11,5,6,32,21,11
5,徳島ヴォルティス,37,22,10,7,5,23,13,10
6,Ｖ・ファーレン長崎,37,22,10,7,5,38,34,4
7,サガン鳥栖,36,22,10,6,6,23,20,3
8,ジュビロ磐田,35,21,10,5,6,31,25,6
9,北海道コンサドーレ札幌,31,22,9,4,9,29,34,-5
10,ヴァンフォーレ甲府,29,22,7,8,7,22,20,2
11,ＦＣ今治,28,22,6,10,6,26,23,3
12,大分トリニータ,27,22,6,9,7,19,21,-2
13,藤枝ＭＹＦＣ,26,22,7,5,10,25,29,-4
14,いわきＦＣ,25,22,6,7,9,27,31,-4
15,モンテディオ山形,23,22,6,5,11,31,34,-3
16,カターレ富山,22,22,5,7,10,19,24,-5
17,ロアッソ熊本,21,22,5,6,11,24,33,-9
18,ブラウブリッツ秋田,21,22,6,3,13,25,40,-15
19,レノファ山口ＦＣ,18,22,3,9,10,19,28,-9
20,愛媛ＦＣ,16,22,2,10,10,23,39,-16
