国,リーグ,所属クラブ,選手名,出身国,年齢,身長,体重,ポジション,詳細
日本,J1,浦和レッズ,西川 周作,日本,39,183cm,81kg,GK,ゴールキーパー
日本,J1,浦和レッズ,牲川 歩見,日本,31,195cm,90kg,GK,ゴールキーパー
日本,J1,浦和レッズ,吉田 舜,日本,28,185cm,83kg,GK,ゴールキーパー
日本,J1,浦和レッズ,ダニーロ ボザ,ブラジル,27,184cm,72kg,DF,センターバック
日本,J1,浦和レッズ,石原 広教,日本,26,169cm,65kg,DF,サイドバック
日本,J1,浦和レッズ,マリウス ホイブラーテン,ノルウェー,30,184cm,77kg,DF,センターバック
日本,J1,浦和レッズ,荻原 拓也,日本,25,175cm,73kg,DF,サイドバック
日本,J1,浦和レッズ,根本 健太,日本,22,184cm,81kg,DF,センターバック
日本,J1,浦和レッズ,井上 黎生人,日本,28,180cm,77kg,DF,センターバック
日本,J1,浦和レッズ,松本 泰志,日本,26,180cm,70kg,MF,ミッドフィールダー
日本,J1,浦和レッズ,マテウス サヴィオ,ブラジル,28,175cm,74kg,MF,ミッドフィールダー
日本,J1,浦和レッズ,原口 元気,日本,34,180cm,72kg,MF,ミッドフィールダー/ウィング
日本,J1,浦和レッズ,中島 翔哉,日本,30,164cm,64kg,MF,ミッドフィールダー
日本,J1,浦和レッズ,サミュエル グスタフソン,スウェーデン,30,187cm,79kg,MF,ミッドフィールダー
日本,J1,浦和レッズ,渡邊 凌磨,日本,28,176cm,72kg,MF,ミッドフィールダー/サイドバック
日本,J1,浦和レッズ,関根 貴大,日本,30,167cm,61kg,MF,ウィング/サイドバック
日本,J1,浦和レッズ,大久保 智明,日本,26,170cm,62kg,MF,ウィング/ミッドフィールダー
日本,J1,浦和レッズ,柴戸 海,日本,29,180cm,70kg,MF,ミッドフィールダー
日本,J1,浦和レッズ,松尾 佑介,日本,27,170cm,65kg,MF,ウィング/フォワード
日本,J1,浦和レッズ,安居 海渡,日本,25,174cm,69kg,MF,ミッドフィールダー
日本,J1,浦和レッズ,早川 隼平,日本,19,163cm,65kg,MF,ミッドフィールダー
日本,J1,浦和レッズ,金子 拓郎,日本,27,178cm,75kg,MF,ウィング
日本,J1,浦和レッズ,長沼 洋一,日本,28,178cm,70kg,MF,ウィング/サイドバック
