年,リーグ,節,日付,ホーム,ホーム得点,アウェイ得点,アウェイ
2025,J1,第1節,25/2/14,ガンバ大阪,2.0,5.0,セレッソ大阪
2025,J1,第1節,25/2/15,ヴィッセル神戸,0.0,0.0,浦和レッズ
2025,J1,第1節,25/2/15,アビスパ福岡,0.0,1.0,柏レイソル
2025,J1,第1節,25/2/15,横浜Ｆ・マリノス,1.0,1.0,アルビレックス新潟
2025,J1,第1節,25/2/15,ファジアーノ岡山,2.0,0.0,京都サンガF.C.
2025,J1,第1節,25/2/15,横浜ＦＣ,0.0,1.0,ＦＣ東京
2025,J1,第1節,25/2/15,川崎フロンターレ,4.0,0.0,名古屋グランパス
2025,J1,第1節,25/2/15,湘南ベルマーレ,1.0,0.0,鹿島アントラーズ
2025,J1,第1節,25/2/16,ＦＣ町田ゼルビア,1.0,2.0,サンフレッチェ広島
2025,J1,第1節,25/2/16,東京ヴェルディ,0.0,1.0,清水エスパルス
2025,J1,第2節,25/2/22,名古屋グランパス,2.0,2.0,ヴィッセル神戸
2025,J1,第2節,25/2/22,京都サンガF.C.,1.0,1.0,浦和レッズ
2025,J1,第2節,25/2/22,横浜ＦＣ,1.0,0.0,ファジアーノ岡山
2025,J1,第2節,25/2/22,柏レイソル,1.0,1.0,川崎フロンターレ
2025,J1,第2節,25/2/22,清水エスパルス,2.0,0.0,アルビレックス新潟
2025,J1,第2節,25/2/22,鹿島アントラーズ,4.0,0.0,東京ヴェルディ
2025,J1,第2節,25/2/22,ガンバ大阪,2.0,1.0,アビスパ福岡
2025,J1,第2節,25/2/22,セレッソ大阪,1.0,2.0,湘南ベルマーレ
2025,J1,第2節,25/2/22,ＦＣ東京,0.0,1.0,ＦＣ町田ゼルビア
2025,J1,第2節,25/2/23,サンフレッチェ広島,1.0,0.0,横浜Ｆ・マリノス
2025,J1,第3節,25/2/26,アビスパ福岡,1.0,2.0,川崎フロンターレ
2025,J1,第3節,25/2/26,鹿島アントラーズ,2.0,1.0,アルビレックス新潟
2025,J1,第3節,25/2/26,ファジアーノ岡山,2.0,0.0,ガンバ大阪
2025,J1,第3節,25/2/26,ＦＣ東京,3.0,1.0,名古屋グランパス
2025,J1,第3節,25/2/26,横浜Ｆ・マリノス,0.0,0.0,横浜ＦＣ
