所属リーグ,順位,クラブ名,特徴,強さ
北海道地域リーグ,1,BTOPサンクくりやま,攻撃型,222
,2,十勝スカイアース,バランス型,222
,3,ノルブリッツ北海道,標準,116
,4,札幌大学,標準,111
,5,Sabas,攻守に課題,104
,6,ASC北海道,攻守に課題,100
,7,日本製鉄室蘭,攻守に課題,86
,8,Canale小樽,攻守に課題,68
東北地域リーグ1部,1,Cobaltore女川,バランス型,250
,2,ブランデュー弘前,攻撃型,207
,3,仙台大学,攻撃型,182
,4,FC LA U. de Sendai,バランス型,176
,5,みちのく仙台,標準,107
,6,ガンジュ,堅守,102
,7,七ヶ浜SC,攻守に課題,87
,8,七戸サッカークラブ,攻守に課題,78
,9,富士2003,攻守に課題,71
,10,仙台SASUKE.FC,攻守に課題,68
関東地域リーグ1部,1,東京ユナイテッドFC,堅守,218
,2,南葛,攻撃型,213
,3,東邦チタニウム,堅守,178
,4,VONDS市原,堅守,164
,5,日本大学サッカー部,標準,111
,6,東京23FC,標準,98
,7,桐横大FC,攻守に課題,91
,8,エリース東京,堅守,82
,9,流経大ドラゴンズ龍ケ崎,攻守に課題,71
,10,つくばFC,攻守に課題,56
北信越地域リーグ1部,1,新庄クラブ,バランス型,216
,2,福井ユナイテッドFC,攻撃型,211
,3,JAPAN.S.C,バランス型,198
,4,新潟医療福祉大学FC,標準,120
,5,アルティスタ浅間,堅守,111
,6,新潟経営大FC,攻守に課題,64
,7,北陸大,攻守に課題,60
,8,Komatsu,攻守に課題,59
東海地域リーグ1部,1,モスペリオ,バランス型,204
,2,FC伊勢志摩,バランス型,184
,3,FC刈谷,堅守,156
,4,藤枝市役所,攻守に課題,111
,5,中京大学FC,標準,109
,6,wyvern,堅守,93
,7,Vencedor Mie United Club,攻守に課題,87
,8,AS刈谷,攻守に課題,68
関西地域リーグ1部,1,和歌山,バランス型,207
,2,BASARA HYOGO,バランス型,207
,3,Cento Cuore HARIMA,堅守,118
,4,AS.ラランジャ京都,標準,109
,5,守山侍2000,堅守,107
,6,VELAGO生駒,標準,98
,7,AWJ,攻守に課題,91
,8,神戸FC1970,攻守に課題,50
中国地域リーグ,1,福山シティ,バランス型,231
,2,ベルガロッソ浜田,バランス型,198
,3,環太平洋大学,攻撃型,187
,4,Yonago Genki SC,堅守,122
,5,廿日市,攻守に課題,122
,6,バレイン下関,標準,118
,7,三菱水島FC,攻守に課題,100
,8,SRC広島,攻守に課題,98
,9,JXTGエネルギー水島,攻守に課題,51
,10,バンメル鳥取,攻守に課題,68
四国地域リーグ,1,FC徳島,バランス型,250
,2,SONIO高松,攻撃型,180
,3,多度津FC,バランス型,173
,4,レベニロッソNC,攻守に課題,102
,5,Llamas高知FC,堅守,102
,6,アルヴェリオ高松,攻守に課題,91
,7,KUFC南国,攻守に課題,76
,8,YFC四国中央,攻守に課題,53
九州地域リーグ,1,ジェイリース,バランス型,220
,2,J.FC Miyazaki,攻撃型,209
,3,AGATA,バランス型,209
,4,九州三菱自動車,標準,180
,5,三菱重工長崎SC,攻守に課題,109
,6,Brew KASHIMA,攻守に課題,91
,7,川副クラブ,攻守に課題,84
,8,日本製鉄大分,攻守に課題,80
,9,NIFS Kanoya,攻守に課題,73
,10,博多,攻守に課題,59
JFL,1,レイラック滋賀,攻撃型,400
,2,Honda FC,バランス型,389
,3,ラインメール青森,堅守,384
,4,沖縄SV,バランス型,374
,5,ヴェルスパ大分,堅守,366
,6,ブリオベッカ浦安･市川,堅守,366
,7,FCティアモ枚方,攻撃型,342
,8,ミネベアミツミFC,標準,318
,9,ヴィアティン三重,標準,313
,10,いわてグルージャ盛岡,標準,313
,11,FCマルヤス岡崎,標準,313
,12,クリアソン新宿,標準,304
,13,アトレチコ鈴鹿,攻守に課題,292
,14,Y.S.C.C.横浜,攻守に課題,279
,15,横河武蔵野FC,攻守に課題,279
,16,飛鳥FC,堅守,250
J1リーグ,1,鹿島アントラーズ,バランス型,930
,2,京都サンガF.C.,攻撃型,884
,3,柏レイソル,標準,879
,4,ヴィッセル神戸,バランス型,879
,5,サンフレッチェ広島,バランス型,844
,6,FC町田ゼルビア,堅守,811
,7,川崎フロンターレ,攻撃型,753
,8,ガンバ大阪,堅守,721
,9,浦和レッズ,堅守,713
,10,セレッソ大阪,標準,643
,11,清水エスパルス,攻撃型,603
,12,FC東京,標準,584
,13,名古屋グランパス,堅守,543
,14,ファジアーノ岡山,堅守,533
,15,東京ヴェルディ,堅守,528
,16,アビスパ福岡,堅守,528
,17,横浜F・マリノス,攻撃型,433
,18,横浜FC,バランス型,395
,20,湘南ベルマーレ,攻守に課題,350
,19,アルビレックス新潟,攻撃型,322
J2リーグ,1,水戸ホーリーホック,攻撃型,700
,2,V・ファーレン長崎,攻撃型,696
,3,ベガルタ仙台,堅守,623
,4,サガン鳥栖,攻守に課題,609
,5,徳島ヴォルティス,標準,605
,6,ジェフユナイテッド千葉,攻撃型,588
,7,いわきFC,標準,565
,8,ジュビロ磐田,攻守に課題,549
,9,北海道コンサドーレ札幌,標準,528
,10,ヴァンフォーレ甲府,標準,528
,11,モンテディオ山形,標準,518
,12,ブラウブリッツ秋田,堅守,514
,13,藤枝MYFC,攻撃型,453
,14,ロアッソ熊本,標準,434
,15,大分トリニータ,標準,418
,16,レノファ山口FC,攻守に課題,382
,17,カターレ富山,標準,372
,18,愛媛FC,堅守,350
J3リーグ,1,ヴァンラーレ八戸,標準,550
,2,栃木シティ,標準,481
,3,鹿児島ユナイテッドFC,攻守に課題,477
,4,テゲバジャーロ宮崎,攻守に課題,459
,5,FC大阪,堅守,446
,6,栃木SC,攻守に課題,421
,7,FC今治,バランス型,421
,8,奈良クラブ,攻守に課題,415
,9,RB大宮アルディージャ,バランス型,409
,10,ツエーゲン金沢,標準,402
,11,松本山雅FC,標準,388
,12,FC岐阜,攻守に課題,388
,13,福島ユナイテッドFC,標準,384
,14,SC相模原,標準,377
,15,ギラヴァンツ北九州,攻守に課題,376
,16,ガイナーレ鳥取,攻守に課題,373
,17,FC琉球,攻守に課題,365
,18,高知ユナイテッドSC,標準,355
,19,AC長野パルセイロ,攻守に課題,331
,20,ザスパ群馬,攻守に課題,321
,21,カマタマーレ讃岐,攻守に課題,320
,22,アスルクラロ沼津,攻守に課題,300
