年,リーグ,順位,チーム,試合,勝,分,負,得点,失点,得失点差,勝点
2024.0,J1,1,ヴィッセル神戸,38,21,9,8,61,36,25,72
,,2,サンフレッチェ広島,38,19,11,8,72,43,29,68
,,3,ＦＣ町田ゼルビア,38,19,9,10,54,34,20,66
,,4,ガンバ大阪,38,18,12,8,49,35,14,66
,,5,鹿島アントラーズ,38,18,11,9,60,41,19,65
,,6,東京ヴェルディ,38,14,14,10,51,51,0,56
,,7,ＦＣ東京,38,15,9,14,53,51,2,54
,,8,川崎フロンターレ,38,13,13,12,66,57,9,52
,,9,横浜Ｆ・マリノス,38,15,7,16,61,62,-1,52
,,10,セレッソ大阪,38,13,13,12,43,48,-5,52
,,11,名古屋グランパス,38,15,5,18,44,47,-3,50
,,12,アビスパ福岡,38,12,14,12,33,38,-5,50
,,13,浦和レッズ,38,12,12,14,49,45,4,48
,,14,京都サンガF.C.,38,12,11,15,43,55,-12,47
,,15,湘南ベルマーレ,38,12,9,17,53,58,-5,45
,,16,アルビレックス新潟,38,10,12,16,44,59,-15,42
,,17,柏レイソル,38,9,14,15,39,51,-12,41
,,18,ジュビロ磐田,38,10,8,20,47,68,-21,38
,,19,北海道コンサドーレ札幌,38,9,10,19,43,66,-23,37
,,20,サガン鳥栖,38,10,5,23,48,68,-20,35
2023.0,J1,1,ヴィッセル神戸,34,21,8,5,60,29,31,71
,,2,横浜Ｆ・マリノス,34,19,7,8,63,40,23,64
,,3,サンフレッチェ広島,34,17,7,10,42,28,14,58
,,4,浦和レッズ,34,15,12,7,42,27,15,57
,,5,鹿島アントラーズ,34,14,10,10,43,34,9,52
,,6,名古屋グランパス,34,14,10,10,41,36,5,52
,,7,アビスパ福岡,34,15,6,13,37,43,-6,51
,,8,川崎フロンターレ,34,14,8,12,51,45,6,50
,,9,セレッソ大阪,34,15,4,15,39,34,5,49
,,10,アルビレックス新潟,34,11,12,11,36,40,-4,45
,,11,ＦＣ東京,34,12,7,15,42,46,-4,43
,,12,北海道コンサドーレ札幌,34,10,10,14,56,61,-5,40
,,13,京都サンガF.C.,34,12,4,18,40,45,-5,40
,,14,サガン鳥栖,34,9,11,14,43,47,-4,38
,,15,湘南ベルマーレ,34,8,10,16,40,56,-16,34
,,16,ガンバ大阪,34,9,7,18,38,61,-23,34
,,17,柏レイソル,34,6,15,13,33,47,-14,33
,,18,横浜ＦＣ,34,7,8,19,31,58,-27,29
2022.0,J1,1,横浜Ｆ・マリノス,34,20,8,6,70,35,35,68
,,2,川崎フロンターレ,34,20,6,8,65,42,23,66
,,3,サンフレッチェ広島,34,15,10,9,52,41,11,55
,,4,鹿島アントラーズ,34,13,13,8,47,42,5,52
,,5,セレッソ大阪,34,13,12,9,46,40,6,51
,,6,ＦＣ東京,34,14,7,13,46,43,3,49
,,7,柏レイソル,34,13,8,13,43,44,-1,47
,,8,名古屋グランパス,34,11,13,10,30,35,-5,46
,,9,浦和レッズ,34,10,15,9,48,39,9,45
,,10,北海道コンサドーレ札幌,34,11,12,11,45,55,-10,45
,,11,サガン鳥栖,34,9,15,10,45,44,1,42
,,12,湘南ベルマーレ,34,10,11,13,31,39,-8,41
,,13,ヴィッセル神戸,34,11,7,16,35,41,-6,40
,,14,アビスパ福岡,34,9,11,14,29,38,-9,38
,,15,ガンバ大阪,34,9,10,15,33,44,-11,37
,,16,京都サンガF.C.,34,8,12,14,30,38,-8,36
,,17,清水エスパルス,34,7,12,15,44,54,-10,33
,,18,ジュビロ磐田,34,6,12,16,32,57,-25,30
2021.0,J1,1,川崎フロンターレ,38,28,8,2,81,28,53,92
,,2,横浜Ｆ・マリノス,38,24,7,7,82,35,47,79
,,3,ヴィッセル神戸,38,21,10,7,62,36,26,73
,,4,鹿島アントラーズ,38,21,6,11,62,36,26,69
